City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
334,milford haven,51.7128,-5.0341,5.62,88,89,6.2,GB,overcast clouds
335,parthenay,46.6667,-0.4167,8.3,90,90,6.28,FR,overcast clouds
336,morden,49.1919,-98.1014,-13.08,72,0,1.03,CA,clear sky
337,enoch,37.7733,-113.0244,1.14,61,0,1.54,US,clear sky
338,hirara,24.8,125.2833,23.15,56,20,10.29,JP,few clouds
339,lesnoy gorodok,55.6389,37.2083,-2.1,86,100,6.0,RU,overcast clouds
340,taitung city,22.7583,121.1444,22.15,88,75,2.06,TW,broken clouds
341,poggio di chiesanuova,43.9045,12.4214,8.09,74,75,4.12,SM,light rain
342,mumford,5.2618,-0.759,26.18,82,16,1.56,GH,few clouds
343,pemba,-12.974,40.5178,27.39,94,20,1.54,MZ,few clouds
344,susuman,62.7833,148.1667,-17.92,96,100,2.58,RU,overcast clouds
345,argenton-sur-creuse,46.59,1.5198,9.19,91,100,6.41,FR,overcast clouds
346,black river,18.0264,-77.8487,25.92,81,0,2.25,JM,clear sky
347,sao joao da barra,-21.6403,-41.0511,25.05,88,100,4.72,BR,overcast clouds
348,barpeta road,26.5028,90.9694,16.77,70,100,2.18,IN,overcast clouds
349,dawei,14.0833,98.2,25.57,68,99,2.89,MM,overcast clouds
350,hammerfest,70.6634,23.6821,-4.75,68,0,1.03,NO,clear sky
351,toliara,-23.35,43.6667,22.38,85,7,1.88,MG,clear sky
352,saguenay,48.4168,-71.0657,2.46,84,75,6.17,CA,broken clouds
